iteration,loss
0,0.00667448
1,0.00667258
2,0.00667068
3,0.00666877
4,0.00666687
5,0.00666497
6,0.00666307
7,0.00666116
8,0.00665926
9,0.00665736
10,0.00665545
11,0.00665354
12,0.00665164
13,0.00664974
14,0.00664783
15,0.00664593
16,0.00664402
17,0.00664212
18,0.00665191
19,0.00665001
20,0.00664810
21,0.00664620
22,0.00664430
23,0.00664239
24,0.00664049
25,0.00663858
26,0.00663668
27,0.00663478
28,0.00663288
29,0.00663097
30,0.00662907
31,0.00662716
32,0.00662525
33,0.00662335
34,0.00662144
35,0.00661953
36,0.00661763
37,0.00661573
38,0.00661381
39,0.00661191
40,0.00661000
41,0.00660810
42,0.00660619
43,0.00660428
44,0.00660237
45,0.00660046
46,0.00659856
47,0.00659664
48,0.00659474
49,0.00659283
50,0.00659092
51,0.00658901
52,0.00658709
53,0.00658518
54,0.00658327
55,0.00658136
56,0.00657945
57,0.00657753
58,0.00657562
59,0.00657370
60,0.00657179
61,0.00656988
62,0.00656797
63,0.00656605
64,0.00656413
65,0.00656222
66,0.00656030
67,0.00655839
68,0.00655648
69,0.00655456
70,0.00655264
71,0.00655073
72,0.00654881
73,0.00654689
74,0.00654498
75,0.00654306
76,0.00654114
77,0.00653922
78,0.00653731
79,0.00653539
80,0.00653347
81,0.00653155
82,0.00652963
83,0.00652772
84,0.00652580
85,0.00652388
86,0.00652196
87,0.00652004
88,0.00651812
89,0.00651620
90,0.00651428
91,0.00651236
92,0.00651044
93,0.00651950
94,0.00651759
95,0.00651568
96,0.00651377
97,0.00651185
98,0.00650994
99,0.00650803
